# Time-averaged data for fix ss
# TimeStep v_strain v_stress v_p2 v_p3 v_p4 v_PE v_KE
20000 0.199505 -0.246646 0.0311285 0.0446829 -0.0744121 -158539 176.348
20250 0.202005 0.0340362 -0.0419529 -0.0441142 0.0102686 -158506 195.979
20500 0.204505 -0.105241 0.0122814 -0.00283288 -0.0317507 -158522 182.47
20750 0.207005 -0.0088924 0.010089 0.0112379 -0.0026828 -158526 178.942
21000 0.209505 -0.0363165 -0.0299833 -0.0388033 -0.0109565 -158534 177.918
21250 0.212005 0.0142618 0.0311259 0.0415701 0.00430273 -158510 196.38
21500 0.214505 0.097013 -0.0149477 -0.00569317 0.0292684 -158518 186.12
21750 0.217005 -0.00865426 -0.00558923 0.0104102 -0.00261095 -158542 173.303
22000 0.219505 -0.0297413 0.00554933 0.00819695 -0.00897283 -158518 187.453
22250 0.222005 0.00408621 -0.021812 -0.0237894 0.00123279 -158511 196.412
22500 0.224505 -0.135217 -0.00219685 0.00179667 -0.0407945 -158541 167.232
22750 0.227005 0.0768004 -0.00538336 -0.00374848 0.0231704 -158513 195.703
23000 0.229505 -0.0213744 0.00410155 0.00861227 -0.00644855 -158546 169.892
23250 0.232005 -0.0365935 0.00820268 0.00633572 -0.0110401 -158526 187.045
23500 0.234505 0.0680879 -0.00158196 -0.00679272 0.0205418 -158529 185.625
23750 0.237005 0.0227143 0.0289214 0.0124661 0.00685282 -158546 171.002
24000 0.239505 0.0569662 -0.00262542 -0.0268667 0.0171865 -158519 195.986
24250 0.242005 0.00632885 0.00189661 -0.000905134 0.00190939 -158542 174.29
24500 0.244505 0.00870211 0.0119291 0.00813127 0.00262539 -158526 188.536
24750 0.247005 -0.0108342 -0.00764127 -0.0241373 -0.00326864 -158538 179.379
25000 0.249505 0.0256224 0.0334368 0.0236914 0.00773018 -158538 181.144
